,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
93,query_es2_8_1.q5.reads,query_es2_8_1,es2,q5.reads,fixed_1: v7,5,8,1,15759310.4873,15.7593104873,373.0,63.279925076568716,63.279925076568716,23603.41205356013,0.0,15726614.5,15780549.200000001,15850196.333333332,16043528.199999996,16302824.236666668,1,1,17354488.0,15587723.0,158028000000.0,0.0,10000.0,10000.0,3730000.0,460580100231.0
94,query_es2_8_1.q6.reads,query_es2_8_1,es2,q6.reads,fixed_int: int_1,6,8,1,404101.47657,0.40410147657000006,0.0,2258.6109542631284,0.0,0.0,0.0,402423.0,407937.0,412848.06666666665,416124.0,428691.97,1,1,1572097.0,379433.0,44275000000.0,0.0,100000.0,0.0,0.0,622041407191.0
95,query_es2_8_1.q7.reads,query_es2_8_1,es2,q7.reads,fixed_int: int_10,7,8,1,413087.93084,0.41308793083999995,0.0,2208.0417365815483,0.0,0.0,0.0,411252.0,416486.0,421909.0,425511.0,435217.9199999999,1,1,759285.0,399527.0,45288999000.0,0.0,100000.0,0.0,0.0,666434290465.0
96,query_es2_8_1.q8.reads,query_es2_8_1,es2,q8.reads,fixed_int: int_100,8,8,1,490287.59575,0.49028759575,0.0,1847.438560613323,0.0,0.0,0.0,488180.0,494137.0,499847.0,504303.0,514646.30666666664,1,1,902919.0,477095.0,54128999000.0,0.0,100000.0,0.0,0.0,712848088517.0
97,query_es2_8_1.q9.reads,query_es2_8_1,es2,q9.reads,fixed_int: int_1000,9,8,1,1265366.84519,1.2653668451900002,0.0,706.0551287844555,0.0,0.0,0.0,1262873.0,1272924.0,1277839.0,1282138.0,1293263.6633333333,1,1,1637161.0,1243518.0,141632000000.0,0.0,100000.0,0.0,0.0,776995862636.0
98,query_es2_8_1.q10.reads,query_es2_8_1,es2,q10.reads,fixed_int: int_10000,10,8,1,10736808.14075,10.736808140749998,0.0,84.11299073336686,0.0,0.0,0.0,10732047.0,10769747.6,10817081.0,10872316.25,10966185.306666667,1,1,12285191.0,10534220.0,1188876999000.0,0.0,100000.0,0.0,0.0,1018946544958.0
99,query_es2_8_4.load.inserts,query_es2_8_4,es2,load.inserts,load,load,8,4,6212453.82264,6.212453822640001,174.4612,581.1419439198024,581.1419439198024,101386.72090658144,0.0,4677396.5,7109853.200000001,10448882.633333333,14847804.949999996,24293261.00333332,4,4,551009485.0,2311347.0,172075000000.0,0.0,100000.0,100000.0,17446120.0,8451921743.0
100,query_es2_8_4.q1.reads,query_es2_8_4,es2,q1.reads,fixed_1: v101,1,8,4,1211812.6559,1.2118126559,387.0,3175.6113051762463,3175.6113051762463,1228961.5751032073,0.0,1213991.5,1234197.4,1248157.2,1261513.2000000002,1300903.6133333333,4,4,1870826.0,1137651.0,3149000000.0,0.0,10000.0,10000.0,3870000.0,692114575426.0
101,query_es2_8_4.q2.reads,query_es2_8_4,es2,q2.reads,fixed_1: v41,2,8,4,1202773.586,1.2027735860000002,381.0,3217.5032175032175,3217.5032175032175,1225868.725868726,0.0,1198771.0,1222250.8,1238212.2,1252615.65,1283389.3533333335,4,4,1668805.0,1150672.0,3108000000.0,0.0,10000.0,10000.0,3810000.0,704711898003.0
102,query_es2_8_4.q3.reads,query_es2_8_4,es2,q3.reads,fixed_1: v17,3,8,4,1322627.2471,1.3226272471,377.0,2938.5844662311097,2938.5844662311097,1107846.3437691284,0.0,1319453.0,1347658.8,1362516.1333333333,1375863.65,1402661.6633333333,4,4,3022417.0,1254813.0,3402999000.0,0.0,10000.0,10000.0,3770000.0,717144425105.0
103,query_es2_8_4.q4.reads,query_es2_8_4,es2,q4.reads,fixed_1: v10,4,8,4,2634592.6447,2.6345926447,377.0,1494.5451344410603,1494.5451344410603,563443.5156842797,0.0,2630938.5,2689830.4000000004,2718813.066666667,2742968.1999999997,2798747.9766666666,4,4,3156514.0,2463667.0,6690999000.0,0.0,10000.0,10000.0,3770000.0,730764649995.0
104,query_es2_8_4.q5.reads,query_es2_8_4,es2,q5.reads,fixed_1: v7,5,8,4,16226986.0243,16.226986024299997,373.0,245.67006510256726,245.67006510256726,91634.9342832576,0.0,16193258.5,16362017.2,16482766.333333334,16585980.850000001,16924370.973333333,4,4,35324942.0,15681574.0,40705000000.0,0.0,10000.0,10000.0,3730000.0,757605378481.0
105,query_es2_8_4.q6.reads,query_es2_8_4,es2,q6.reads,fixed_int: int_1,6,8,4,418361.00762,0.41836100762,0.0,8646.031471554556,0.0,0.0,0.0,419548.0,429788.0,436812.0,443491.0,465128.0,4,4,1824745.0,377907.0,11566000000.0,0.0,100000.0,0.0,0.0,923916500166.0
106,query_es2_8_4.q7.reads,query_es2_8_4,es2,q7.reads,fixed_int: int_10,7,8,4,532517.04404,0.53251704404,373.0,6663.557006730192,6663.557006730192,2485506.763510362,0.0,527003.0,539603.2000000001,547923.4333333333,557010.0,774488.5833333333,4,4,1652092.0,493920.0,15007000000.0,0.0,100000.0,100000.0,37300000.0,970419256351.0
107,query_es2_8_4.q8.reads,query_es2_8_4,es2,q8.reads,fixed_int: int_100,8,8,4,613817.38252,0.6138173825200001,373.0,5772.006105166298,5772.006105166298,2152958.277227029,0.0,608358.0,625343.0,641146.0,656724.85,844355.5033333332,4,4,970223.0,568768.0,17324999000.0,0.0,100000.0,100000.0,37300000.0,1031774372298.0
108,query_es2_8_4.q9.reads,query_es2_8_4,es2,q9.reads,fixed_int: int_1000,9,8,4,1448022.69039,1.44802269039,390.0,2480.7740630308626,2480.7740630308626,967501.8845820364,0.0,1447602.0,1464390.0,1474400.0,1483898.55,1513954.3066666666,4,4,2326747.0,1344487.0,40309999000.0,0.0,100000.0,100000.0,39000000.0,1110778562649.0
109,query_es2_8_4.q10.reads,query_es2_8_4,es2,q10.reads,fixed_int: int_10000,10,8,4,11243581.97281,11.24358197281,386.0,321.84869996250046,321.84869996250046,124233.59818552517,0.0,11222526.0,11424588.2,11559249.833333332,11680670.6,11925571.836666666,4,4,13482606.0,10338843.0,310704999000.0,0.0,100000.0,100000.0,38600000.0,1373808612758.0
110,query_es2_8_8.load.inserts,query_es2_8_8,es2,load.inserts,load,load,8,8,10335978.41717,10.33597841717,174.4612,730.4922056481657,730.4922056481657,127442.54678802576,0.0,6319296.5,12008116.200000003,18693843.266666666,26672448.949999988,57916062.943333335,8,8,2085880257.0,2602445.0,136894000000.0,0.0,100000.0,100000.0,17446120.0,15951000697.0
111,query_es2_8_8.q1.reads,query_es2_8_8,es2,q1.reads,fixed_1: v101,1,8,8,1261873.4885,1.2618734885,387.0,5913.660555884093,5913.660555884093,2288586.635127144,0.0,1201641.0,1261337.0,1624199.0,1658316.5999999999,1714115.4933333336,8,8,3355008.0,1119769.0,1690999999.9999998,0.0,10000.0,10000.0,3870000.0,1106488398793.0
112,query_es2_8_8.q2.reads,query_es2_8_8,es2,q2.reads,fixed_1: v41,2,8,8,1281130.2858,1.2811302858,383.0,5770.3404500865545,5770.3404500865545,2210040.3923831503,0.0,1219864.5,1274333.8,1675746.1333333333,1718215.65,1778789.566666667,8,8,2478826.0,1137804.0,1733000000.0,0.0,10000.0,10000.0,3830000.0,1120026960065.0
