,Task,TaskName,Experiment,Phase,Query,QueryNumber,ContentionFactor,ThreadCount,AverageLatency,AverageLatencyMillis,AverageSize,OperationThroughput,DocumentThroughput,SizeThroughput,ErrorRate,Latency50thPercentile,Latency80thPercentile,Latency90thPercentile,Latency95thPercentile,Latency99thPercentile,WorkersMin,WorkersMax,LatencyMax,LatencyMin,DurationTotal,ErrorsTotal,OperationsTotal,DocumentsTotal,SizeTotal,OverheadTotal
19,query_es3_1_16.q4.reads,query_es3_1_16,es3,q4.reads,"uar_[1,5]: uar_alllow",4,1,16,16615743.9021,16.615743902099997,366.8277,944.5546424860678,944.5546424860678,346488.80702748656,0.0,17226357.0,24049666.0,28211483.33333333,31789470.8,38782076.31666669,16,16,58284802.0,580936.0,10587000000.0,0.0,10000.0,10000.0,3668277.0,22328727875730.0
20,query_es3_4_1.load.inserts,query_es3_4_1,es3,load.inserts,load,load,4,1,19208719.96914,19.208719969140002,156.38311,51.90504491084011,51.90504491084011,8117.072347846849,0.0,19331178.5,20230988.2,20742776.333333336,21133011.1,22513157.283333335,1,1,118714849.0,7974304.0,1926595000000.0,0.0,100000.0,100000.0,15638311.0,5860693652.0
21,query_es3_4_1.q1.reads,query_es3_4_1,es3,q1.reads,fixed_1: fixed_hf,1,4,1,36651913.8935,36.6519138935,360.0,27.251446370516117,27.251446370516117,9810.520693385803,0.0,36603947.0,36826957.0,36997119.1,37146826.45,37511447.16,1,1,46139483.0,36095666.0,366953000000.0,0.0,10000.0,10000.0,3600000.0,1927216086583.0
22,query_es3_4_1.q2.reads,query_es3_4_1,es3,q2.reads,fixed_1: uar,2,4,1,22044938.5862,22.0449385862,366.1958,45.224517115218504,45.224517115218504,16561.02822462113,0.0,20931869.5,21878591.2,22150647.099999998,22657200.099999998,46641764.86000003,1,1,127170990.0,20182427.0,221119000000.0,0.0,10000.0,10000.0,3661958.0,2294500965050.0
23,query_es3_4_1.q3.reads,query_es3_4_1,es3,q3.reads,"uar_[1,5]: uar",3,4,1,17818232.7173,17.8182327173,366.4331,55.97004483200591,55.97004483200591,20509.277034930903,0.0,20632334.0,21790668.799999997,22092050.766666666,22461435.099999998,45280081.410000026,1,1,128063724.0,550693.0,178667000000.0,0.0,10000.0,10000.0,3664331.0,2515819832581.0
24,query_es3_4_1.q4.reads,query_es3_4_1,es3,q4.reads,"uar_[1,5]: uar_alllow",4,4,1,17089495.4605,17.0894954605,366.7162,58.34339790980926,58.34339790980926,21395.469176573195,0.0,20698371.5,21737760.0,22082662.03333333,22311771.0,23440936.653333336,1,1,25635327.0,553064.0,171398999000.0,0.0,10000.0,10000.0,3667162.0,2694900502017.0
25,query_es3_4_4.load.inserts,query_es3_4_4,es3,load.inserts,load,load,4,4,38556068.22842,38.556068228419996,156.38311,97.43654211103726,97.43654211103726,15237.429482969972,0.0,21064354.5,37539408.6,54105400.900000006,74628367.84999995,212915140.7799993,4,4,15293298364.0,9607637.0,1026308999000.0001,0.0,100000.0,100000.0,15638311.0,11714150554.0
26,query_es3_4_4.q1.reads,query_es3_4_4,es3,q1.reads,fixed_1: fixed_hf,1,4,4,37981166.4507,37.9811664507,355.0,104.05177724649634,104.05177724649634,36938.3809225062,0.0,38029144.5,38468971.400000006,38738306.9,38960131.65,39488410.70333333,4,4,49851112.0,36703320.0,96105999000.0,0.0,10000.0,10000.0,3550000.0,4111427334267.0
27,query_es3_4_4.q2.reads,query_es3_4_4,es3,q2.reads,fixed_1: uar,2,4,4,22812886.8557,22.8128868557,366.2482,172.27716246213626,172.27716246213626,63096.20065286498,0.0,21953203.0,22778849.0,23291250.166666664,23716594.9,45409624.273333356,4,4,126436517.0,20705073.0,58045999000.0,0.0,10000.0,10000.0,3662482.0,4496592795689.0
28,query_es3_4_4.q3.reads,query_es3_4_4,es3,q3.reads,"uar_[1,5]: uar",3,4,4,18499119.986,18.499119986,366.5753,211.51934344395795,211.51934344395795,77537.76677877191,0.0,21823984.0,22638922.8,23268462.066666666,23661424.75,45744654.70333347,4,4,129163167.0,573936.0,47277000000.0,0.0,10000.0,10000.0,3665753.0,4730120507038.0
29,query_es3_4_4.q4.reads,query_es3_4_4,es3,q4.reads,"uar_[1,5]: uar_alllow",4,4,4,17828527.298,17.828527298,366.8262,219.7367601954945,219.7367601954945,80605.20074282451,0.0,21836692.5,22598824.4,23165457.9,23488191.5,24261477.616666667,4,4,26383974.0,573886.0,45508999000.0,0.0,10000.0,10000.0,3668262.0,4920732184515.0
